doc_id,menu_id,menu_name,category,document
menu_1,1,아메리카노,커피/라떼,"메뉴명: 아메리카노

카테고리: 커피/라떼

설명:
진한 에스프레소에 물과 얼음을 더한 고소하고 쌉쌀한 음료

가격:
1800원

원재료:
원두, 물

알러지:
없음

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_2,2,에스프레소,커피/라떼,"메뉴명: 에스프레소

카테고리: 커피/라떼

설명:
비터홀릭 원두의 풍성한 크레마가 느껴지는 진한 음료

가격:
2500원

원재료:
원두

알러지:
없음

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_3,3,카페라떼,커피/라떼,"메뉴명: 카페라떼

카테고리: 커피/라떼

설명:
진한 에스프레소에 우유를 더해 부드럽게 마시는 음료

가격:
4000원

원재료:
원두, 우유

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_4,4,카푸치노,커피/라떼,"메뉴명: 카푸치노

카테고리: 커피/라떼

설명:
풍부한 거품의 스팀밀크와 향긋한 시나몬 향의 음료

가격:
4000원

원재료:
원두, 우유

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_5,5,바닐라라떼,커피/라떼,"메뉴명: 바닐라라떼

카테고리: 커피/라떼

설명:
바닐라 향과 부드러운 카페라떼의 조화

가격:
4300원

원재료:
원두, 우유, 바닐라시럽

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_6,6,헤이즐넛라떼,커피/라떼,"메뉴명: 헤이즐넛라떼

카테고리: 커피/라떼

설명:
헤이즐넛 향과 부드러운 카페라떼의 조화

가격:
4300원

원재료:
원두, 우유, 헤이즐넛시럽

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_7,7,카라멜마끼아또,커피/라떼,"메뉴명: 카라멜마끼아또

카테고리: 커피/라떼

설명:
달콤한 카라멜과 부드러운 카페라떼의 조화

가격:
4300원

원재료:
원두, 우유, 카라멜시럽

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_8,8,카페모카,커피/라떼,"메뉴명: 카페모카

카테고리: 커피/라떼

설명:
달콤한 초콜릿과 부드러운 카페라떼의 조화

가격:
4500원

원재료:
원두, 우유, 초콜릿

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_9,9,연유라떼,커피/라떼,"메뉴명: 연유라떼

카테고리: 커피/라떼

설명:
달콤한 연유와 부드러운 카페라떼의 조화

가격:
4800원

원재료:
원두, 우유, 연유

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
menu_10,10,흑당카페라떼,커피/라떼,"메뉴명: 흑당카페라떼

카테고리: 커피/라떼

설명:
달콤 쌉쌀한 흑당과 부드러운 카페라떼의 조화

가격:
4800원

원재료:
원두, 우유, 흑당

알러지:
우유

선택 가능 옵션:

[온도]

필수여부: 필수
최소선택: 1
최대선택: 1

- HOT (+0원)
- ICE (+0원)

[사이즈]

필수여부: 필수
최소선택: 1
최대선택: 1

- 레귤러 (+0원)
- 라지 (+500원)

[샷 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 샷 1개 추가 (+500원)
- 샷 2개 추가 (+1000원)

[시럽 추가]

필수여부: 선택
최소선택: 0
최대선택: 3

- 바닐라 시럽 (+500원)
- 헤이즐넛 시럽 (+500원)
- 카라멜 시럽 (+500원)

[휘핑 추가]

필수여부: 선택
최소선택: 0
최대선택: 1

- 휘핑 추가 (+500원)
"
